,hasType,eventName,date,latitude,longitude,hasLocation,hasSubtype,agencyLGUsPresentPreparedness,declarationOfCalamity,evacuationPlan,evacuationCenters,rescueUnit,rescueEquipment,affectedBarangays,dead,injured,missing,affectedFamilies,affectedPersons,displacedFamilies,displacedPersons,totallyDamagedHouses,partiallyDamagedHouses,infraDamageAmount,agricultureDamageAmount,commercialDamageAmount,powerAffected,communicationAffected,roadAndBridgesAffected,seaportsAffected,airportsAffected,areDamsAffected,isTapAffected,allocatedFunds,agencyLGUsPresentAssistance,internationalOrgsPresent,amoungNGOs,itemCostGoods,itemQtyGoods,itemCostWater,itemQtyWater,itemCostClothing,itemQtyClothing,itemCostMedicine,itemQtyMedicine,itemCostOthers1,itemCostOthers2,srrDone,policyChanges,postStructureCost,postTraining,reference,otherDescription,otherDescription,otherDescription,startDate,endDate,id
424,Tropical Cyclone,Typhoons of September 1905,1905-09-25 00:00:00,"13° 8'20.36""N","123°44'37.66""E","Legaspi, Albay",Storm Surge,,,,,,,,,,,,,some,some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Great Typhoon in the Philippine Islands in September, 1905. July 5, 1906. Nature via Manila Observatory.",,,,1905-09-25,1905-09-25,e57d97540bdf45ca92fe86460ad52a60
425,Tornado,"The whirlwind of San Pedro Macati, on June 23, 1930",1930-06-23 00:00:00,"14°33'16.84""N","121° 1'28.02""E",Makati City,Thunderstorms,,,,,,,,,,,,,some,some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The whirlwind of San Pedro Macati on June 23, 1930. Manila Observatory.",,,,1930-06-23,1930-06-23,fd66f2808ec34d60b776dd833243b125
426,Tornado,"The whirlwind of Tuguegarao, on April 22, 1928",1928-04-22 00:00:00,"17°36'47.13""N","121°43'37.23""E","Tuguegarao, Cagayan",Hail,,,,,,,,,,,,,5,some,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The whirlwind of Tuguegarao, on April 22, 1928. Hail in the Philippines, p.8. Miguel Selga, Manila Observatory.",,,,1928-04-22,1928-04-22,3aa05399e87f47aeb3d5421bc71e0a97
428,Tropical Cyclone,Typhoon Auring,"March 14 - 18, 2005",,,Region VIII,,PAGASA,,,,,,,13,,4,3181,15638,,,277,1307,10000000,11102000,,affected,affected,,,,,,,"NDCC
RDCC",,,,,,,,,,,,,,,,,,,,,2005-03-14,2005-03-18,3a42c8db98204704b41c0ffffc4e12e5
429,Tropical Cyclone,Typhoon Feria,"August 2 - 5, 2005",,,Batanes,,PAGASA,,,,,,31,,,,,,,,,,15529100,2766015,65000,,,,,,,,,"NDCC
RDCC",,,,,,,,,,,,,,,,,,,,,2005-08-02,2005-08-05,8b1e75fc80ab402cb2f51cedf3d4846a
430,Tropical Cyclone,Tropical Storm Labuyo,"September 21 - 23, 2005",,,Region II,,PAGASA,,,26,,,718,9,5,5,63335,314941,835,4357,34,17815,43569000,452365361.9,,,,damaged,,,,,"NDCC -PHP 747,000.00
PSWD -PHP 231,207.00
P/MSWDO -PHP 120,390.00
DSWD CAR -PHP 30,900.00
PSWDO and MSWDO -PHP 120,390.00
DOH RO1 -PHP 109,216.20
HEMS=OPCEN -PHP465,590.50
LGUs -PHP 233,500.00
Others (NGOs/Pos) -PHP 75,160.00","NDCC
RDCC
OCD Regional
PCG in Currimao, Ilocos Norte
Philippine Army
501B 5th Infatry Division 
505th SAR Squadron Philippine Air Force
Philippine National Police
Naval Forces North",,,747,850 sacks of rice,,,,,,,,,,,,,,,,,2005-09-21,2005-09-23,6686c953142f40e495efbdfc4d23aa7c
431,Tropical Cyclone,Tropical Depression Quedan,"December 16 - 18, 2005",,,CARAGA,,PAGASA,gale warnings,,,,,644,26,6,16,99818,478983,,,240,1280,243206249,1618740843,,,,damaged,,,breached,,"
NDCC -PHP1,368,000.00
DOH -PHP 1,934,715.40
DSWD - PHP 2,030,140.50
DA -PHP 7,653,600.00
LGUs - PHP 1,313,371.50
NGOs -PHP 1,978,349.80
PNRC -PHP 100,000.00","NDCC
RDCC
LDCC
DOTC",,,1368000,1520,,,,,1934715.4,,,,,,,,,,,,2005-12-16,2005-12-18,0858e613150e4c0c8cb622eee51dbd36
432,Tropical Cyclone,Tropical Depression Ineng,"July 30 - 31, 2003",11.6 N,127.7 N,Regions V|X,Flashflood: [Guinsiliban and Sagay|Camiguin]|Landslide (Wet): [Guinsiliban|Camiguin],OPCEN,Warning Order No. 4 in Region VI,,2,,,9,0,0,0,1024,3150,,,20,9,,,,,,,,"back to normal, no damaged lifleline",,11537,0,,,,,,,,,,,,,,,,,,,,,,2003-07-30,2003-07-31,faad4f5cf7754926bb73096e5fd460ce
433,Tropical Cyclone,Onyok,"September 2-3, 2003",21.5 N,119.6 E,NCR|III,,OPCEN,,,7,"NAVRESCOM, 51st Engineering Brigade, MMDA, AFPRESCOM-NCR","rubber boats, 1 M35 truck, search lights",42,,,,6531,34247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-09-02,2003-09-03,cd06bdcd332643c7ba57ab66e0dc1af9
434,Tropical Cyclone,Tropical Depression Ursula,"October 21-24, 2003",,,Region VI,Flashflood: [Ilog|Negros Occidental; Sipalay|Negros Occidental],,Warning Order No. 2 in Region VI,,,,,42,1,,,12288,64291,,,28,19,27.2,66.3,,,,,,,,,,"P301,150.00","231 bags of rice, 73 boxes of sardines, 105 boxes of noodles",,,,,,,,,,,,,,,,,,,,2003-10-21,2003-10-24,60ba8ff9936b447bb0b62db02fa3d85b
435,Tropical Cyclone,"Yoyoy (""Lupit)","November 27-30, 2003",22.1 N,132.8 E,"Virac, Catanduanes|Tuguegarao, Cagayan",,,Warning Order No. 1 and 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-11-27,2003-11-30,d3c97b08973047cb8b6d5e3c844c1ba5
436,Tropical Cyclone,Viring (Melor),"November 2-3, 2003",22.3 N,121.5 E,Region I|II|III|CAR,Flood (General),"OCD Regional Centers - Region I, II, III, CAR","Flood Advisory No. 3 in Region 2, PSWS No. 1,2,3",,,,,,2,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-11-02,2003-11-03,fcd0907e22d64405a1464684f2b5637c
437,Tropical Cyclone,Tropical Depression Zigzag,"Dec 25-28, 2003",13.7 N,129.1 E,Region V|VIII,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-12-25,2003-12-28,d1dc36a571954e4aab3482cb9be23174
438,Tropical Cyclone,Unding,"Nov 14-21,2004",,,Region III|IV|V,,,,,,,,1180,71,160,69,144553,759045,1209,15076,36011,91803,358156000,,,,,,,,,,,"This support was for the devastation brough about by the four (Unding, Violeta, Unding, Yoyong: Philippine Mining Safety and Environmental Association (PMSEA),CIIF Group of Companies
Corporate Network for Disaster Response (CNDR)
JICA
GMA Kapuso Foundation
ABS CBN Foundation
Federation of Chinese Chamber of Commerce
Philippine National Bank
Nestle Philippines
Asia Brewery Incorporated
Philippines Charity Sweeptakes
Lucio Tan Group of Companies
Cathay Pacific
Aboitiz Grroup of Companies
LAFARGE Group of Companies
DOLE Filipino Packaging and Logistics
Kimberly Clark Philippines
MEGA Fishing Corp
Rotary Club of Las Pinas
JAKA Equipment Corp
UNILAB
Ramon Aboitiz Foundation
Fedex
Girl Scout of the Philippines
Phil Am Foundation
PMA Class 72
World City College, Quezon City
Centro Escolar University
Southern Luzon Bus Operators Association
Camp Aguinaldo Golf Club
Neo Filipino Association
AFPSLAI
PNRC
DOH
NTC
","This support was for the devastation brough about by the four (Unding, Violeta, Unding, Yoyong: US Military Forces
JICA
USAID-OFDA
WHO
UNDAC
OXFAM
UNICEF
Save the Children
Medicine Sans Frontier
Telecom Sans Frontier 
Groups de Socours Catastrophe Francais
World Vision
Spanish Agency for International Cooperation
Belgian Government
German Embassy Manila
Chinese Government
Singapore Government
Office of Middle East and African Affairs
Australian Embassy Manila
Government of People's Republic of China
Government of Cyprus
Embassy of Brunei, Darussalam
Embassy of France
Guam (Philippine Consulate, Korean Association, and various officials)
Republic of Korea
Dateline India Group
New York Life Insurance
Filipino Community in Japan
Abuja Nigeria
Mr. Seizen Uehara Okinawa Prefecture Japan
Governor Inamine Okinawa Prefecture
Philippines Consulate, General Toronto, Canada
Athens Greece
Circulo Ilongo, Toronto, Canada
Filipino Community in Beijing, China
","T79,321,117.78",,,,,,,,,,,,,,,,,,,2004-11-14,2004-11-21,a974a9c046184b1780be425561bc723d
439,Tropical Cyclone,Violeta,"Nov 22-26,2004",,,Region III|IV|V,,,,,,,,83,31,187,17,21151,99461,552,2555,369,900,71635500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-11-22,2004-11-26,4d6e6610f5e74e43817c52942e1769c1
440,Tropical Cyclone,Tropical Depression Winnie,"Nov 28-30, 2004",,,Region III|IV|V,,,,,,,,645,893,648,443,170036,845429,13375,65354,8889,12578,696905455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-11-28,2004-11-30,1faff64b66614a1b8e8a1870f153045d
441,Tropical Cyclone,Yoyong,"Nov 30-Dec 3,2004",,,Region III|IV|V,,,,,,,,3196,73,168,24,383575,1939835,38694,192424,11322,61972,625269955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-11-30,2004-12-03,6635ca27b0774ebbbb799d180d35d300
442,Tropical Cyclone,Typhoon Marce,2004-08-24 00:00:00,,,Region I|III|IV|CAR|NCR,Landslide (Wet),NDCC through its Local Disaster Councils (DCCs),Issued flood advisories to affected regions to disseminate warning information for the safety of the public,,143,"NOLCOM, 7th ID PAF | PDCC DART Olangpo City, 69th IB, PDCC DART Tarlac, PDCCs Cavite, Quezon, Navotas, Pampanga, Bulacan, Batangas City | Pampanga Rescue 21 | NFA Rescue Team | Naval Forces North | Coast Guard District Rescue Team | Tuba Fire Station, PNP Tuba, BB PICAG, BDCC Rescue Team | PNP Regional Mobile Group | CDCC Olonggapo Rescue Team | NCRCOM, 51st EBDE, MMDA, NAVRESCOM, PCG, 505th PAF | Clab Rescue Group, 51st Engineering Brigade, Rescue 161","Rubber boats, M35 trucks, 10-wheeler army trucks, amphibian trucks/vehicles, choppers, pay loader / dump trucks, 6x6 trucks, UH-IH helicopters, CMC jeep, weapon carrier, Heli 205th PAF, ambulances",2156,50,9,2,393970,1899931,9269,50101,69,2464,"147.488,000","P1,167,551,000",,,,"The local DPWHI reported that 21 major roads and 4 bridges incurred road cuts, major slides and eroded bridge approach (5 roads in Region I, 10 in CAR and 5 in Region II, 3 bridges in Region I and 1 in region III). They are still impassable up to this time because of on-going clearaning operations.",,,"The water elevation of dams particularly the Ambuklao, Binga and San Roque was closely monitored every 6 hours to determine the current water level. Authorities were forced to open the gates of the above dams seeing the water at its critical level.",,"P21.525M

(P17.203M)
NDCC - P2,186,360.00
DSWD - P1,830, 253.10
LGUs - P12,681,115.05
NGOs / Other GOs - P504,865.00","NDCC, DSWD, LGUs and NGOs",,,,,,,,,,,"Concerned and attached agencies conducted search and rescue operations in flooded areas in coordination with NDCC and concerned local DCCs. The NDCC, through local DCCs continues vigilant monitoring of this massive flooding and will relay any new developments to concerned agencies.",,,,,,,,,,2004-08-24,2004-08-24,f92dacbbeba24c7a923ae5b011744bff
443,Fire (Industrial),"Ozone Disco House Fire Incident, Timog Avenue, Tomas Morato",1996-03-19 00:00:00,,,Quezon City,,,,,,,,,156,90,96,,342,,,,,,,,,,,,,,,"P400,000",7,,,,,,,,,,,,Conduct of inspection of other establismentsby the Mayor's composite task force which resulted to the closure of 3 establisments. Improvement on the implementation of the National Building Code and the National Fire Safety Code.,,,,,,,,,1996-03-19,1996-03-19,98675f071d1f485497f137a0343ab9c0
444,Fire (Industrial),"Lung Center of the Philippines Fire Incident, East Avenue",May-98,,,Quezon City,,,,,,,,,25,62,,,87,,,,,,,P1.7 Million,,,,,,,,"P230,000",5,,,,,,,,,,,,,,,,,,,,,1998-05-19,1998-05-19,99093cd2972b464b823e796162dc4bf5
445,Water,"MV Carmela Vessel Fire Incident near Brgy Polo Grande, Pagbilao, Chica Island, ",2002-04-11 00:00:00,,,"Atimonan, Quezon",,,,,,,,,25,88,108,,388,,255,,,,,,,,,,,,,,,,,,,,,,,,,"Local fishermen in outrigger canoes, fishing vessels, private bancas and 3 speed boats wee immediately dispatched to the site. MV Sta Cruz was passing by chance rescued about 73 passengers. Navy vessels PG 141 and PS 19 and 2 MG helicopters From Southern Luzon Command were dispatched The MDCC of Pagbilao sent 1 patrol jeep and an ambulance at the shore to transport any victims. PAF Helicopter from the 505th Search and Rescue Group from Villamor Airbase were also dispatched.","Reorientation/Networking of local DCCs giving emphasis on SAR, incident command and emergency medical services.Clearly define RA8185 regarding utilization of 5% calamity fund. Strict implementation of Maritime Laws. Provision of uniforms to response teams for purposes of identification. Equippage of response teams to deal with this type of disaster. Proper observance in the handling of cargoes especially combusible inflammable materials . augmentation support from the management for suh operations.",,Specific training design for LCEs,,,,,,,2002-04-11,2002-04-11,8e2ffaafe3bf40f488f6d786491c3136
446,Fire (Misc),Baseco Compound Brgy. 649 Fire Incident,2002-03-30 00:00:00,,,Manila,,,,,,,,1,2,8,4,3000,15000,3000,15000,,,1600,300,"P15,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-03-30,2002-03-30,2239457884ec41a58ecbca326c94450c
447,Fire (Misc),Baseco Compound Fire Incident,2003-03-06 00:00:00,,,Manila,,,,,,,,1,1,,,913,2700,913,2700,,,783,,,,,,,,,,,,,,285000,"4850 bags of relief goods worth P300, 500 packs pandesal, 2 boxes sardines, 2 boxes noodles, 2 packs biscuits, 80 sacks of rice",,"6 portalets, 6 bottles mineral water (10gallons/bottle),",,"2 sacks of used clothes,",,,Local firefighters from various cities and municipalites around Metro Manila were at the scene putting off the fire. Volunteer fire fighters were also there. 1 unit ambulance was on standby for possible medical assistance.,Initial plan of the City Government of Manila is to develop the affected area and wil provide housing for the homeless victims in coordination with NHA. Victims will be given land titles with 25-30 sq meters payable 25 years at an affordable monthly amortization.,,,,,,,,,2003-03-06,2003-03-06,24ab8460304f47879d8319b7933cb332
448,Fire (Misc),"Baseco Compound Blks 14, 15, 16, 17A Fire Incident",2004-01-11 00:00:00,,,Manila,,,,,,,,1,0,23,,3239,16195,2012,10060,,,2500,,"P40,000,000",,,,,,,,,27,,,"P134,000, P2000 worth of bread","15 boxes sardines, 10 boxes noodles, 101 sacks and 7 packs (5 kilos/pack) rice, 150 family packs, 5 boxes Nestle infant milk and 20 boxes Neslac powder milk, 2500 packs containing rice and assorted canned goods",,"4 trucks containing 4 drums of potable water, 1000 gallons, 1 tanker of water for washing",,"200 sleeping mats, 29 sacks and 8 boxes used clothing, 5 boxes assorted toys, 4 modular tents, 10 units tents, 100 pcs pails, 500 small tents, 200 pairs of slippers, 165 T-shirts",,,,,"BFP mobilized 27 fire trucks coming from various cities and municipalities of Metro Manila, non government volunteer fire brigades had also responded to the fire scene. The responders were able to retrieve 23 persons injured. The 51st Engineering Brigade, Phil. Army immediately deployed 11 Enlisted Personnel and officers, 19 trainees and 2 units troop-hutment(tent) and rescue equipments. The PNP Central Operation Center provided security and control of traffic in the disaster area. The WPD5 established Task Force Seguridad.",,,,,,,,2004-01-11,2004-01-11,dba71f1b009047eda34ef05a0d882c75
453,Landslide (Dry),Taal Lakeshore Landslide,1754,,,"Taal, Batangas|Tanauan, Batangas|Lipa, Batangas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ramos, E. (1986) Lakeshore Landslides: Unrecognized Hazards around Taal Volcano. Philippine Journal of Volcanology. 3 (1). 28-53.","Local villagers left their towns of Taal, Tanuan and Lipa 20 kms away from the lakeshore.",,,1754-01-01,1754-12-31,04d3e4f97a114afdb33aa89e0a99708d
454,Rockfall (Dry),Avalanches of mud and boulder of rocks in Banahaw,1730,14°04'.0'N,121° 29.0'E,"Sariaya, Quezon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"del Mundo, E.T., Sabit, J., Campiti, N. (1997) Catalogue of Philippine Volcanoes Vol. 1: Active Volcano. Quezon CIty: DOST.",,,,1730-01-01,1730-12-31,2061a92d671446dbbc7950a8f8348c46
455,Lanslide (Dry),large landslides in the hills caused by intensity 8 earthquake in Dipolog,"10:45 PM July 23, 1855",,,"Dipolog, Zamboanga del Norte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Epicentral parameters of major earthquakes 
1559-1983",The quake had its epicenter near the northwestern coast of Mindanao. Its seismic wave including the innumerable aftershocks are said to be from NW to SE (land-inward from seacoast). A source said that principla fissures had a SW-NE directin.,"Other areas that were affected due to the earthquake but did not experience landslide were Dapitan, Isabela (Island of Basilan), Cebu,  and Haya",,1855-07-23,1855-07-23,93a68f342d1e46d1839aacc3ba9bc4a8
456,Lanslide (Dry),Landslide caused by an Intensity 9 earthquake,"11:35 AM January 31, 1917 ",,,"Glan, Saranggani ",,,,,,,,,7,2,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Epicentral parameters of major earthquakes 
1559-1983","The earthquake lasted for 18 minutes. The damage it caused to government buildings, property and supply was estimated at $4510.69",,,1917-01-31,1917-01-31,41993e56290b4946a21d5862c3919214
457,Tsunami,Tsunami in Northern Luzon Island due to magnitude 8 earthquake,"September 14, 1627",18.400,121.600,Cagayan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bit.ly/2x4HzUE,"Tsunami magnitude of 2, tsunami intensity 3.5. Four runups",,,1627-09-14,1627-09-14,195ba734255e48388a4cfedde22716f9
458,Tsunami,Tsunami in Mindoro Island due to magnitude 6.8 earthquake,"6:23 PM May 25, 1889 ",13.500,121.000,Occidental Mindoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://bit.ly/2x4HzUE,,,,1889-05-25,1889-05-25,c9ce8640b4314d27b756a1a8000c6941
463,Tropical Cyclone,Tropical Depression Caloy,2002-03-20 00:00:00,,,Regions VI|VII|VIII|CARAGA,Rogue Wave ,PAG-ASA,,,8,AFP-JOC,Helicopter,96,35,2,7,12679,54629,262,1310,262,1046,64538746,51008610,8400000,13,,,Voyages suspended by PCG,,NIA Dam overflowing in San Miguel Surigao del Sur,,,,,0,,50 sacks of rice; 7 cartons sardines; 7 carton noodles,,,,,,,,,,,,,CY 2002 Destructive Tropical Cyclones. NDCC Report,,,,2002-03-20,2002-03-20,23c24126c4ee420885db5fbcdf73c23e
464,Tropical Cyclone,"Florita, Gloria, Inday, Hambalos","June 28-July 14, 2002",,,NCR|CAR|I|III|IV|VI|XI|XII,Severe Weather,PAGASA,State of Calamity- 4 provinces; 5 cities;15 municipalities,Coordination with AFP in both rescue and relief operation,310,AFP; DOTC; PCG; ,"rubber boats, patrol craft; buses; M-35 trucks; 1 tonner dump truck; elf truck, mini cruiser, chain saw",2356,61,41,5,483595,2278341,13216,61874,404,2059,176.849,344331000,710000,,,Minor slides along Tagudin-Cervantes Road; settlement of Middle pier of Mailpig Bridge along Batac-Pinili Road; collapsing of Mindoro West Coast Road and along Km 434+400-km 434-500 along Abra de Ilog),,,"Damaged dikes in Pampanga namely Bulac-Tail Dike in Minalin (200m breached); Sapang Maragulin in Gaugua (400 m breached); Sapang Bungag Guintu in San Lorenzo portion in Mexico (200 m heavily constricted, overflowing right dike breached); Inuming Baka Creek in Sta. Ana (100m breached) ",,,"ABS-CBN, LGUs of the 18 provinces affected from 8 regions",,3309128.3,5280000 worth of rice; 24683920.24 worth of assorted goods,6660 sacks,,,,,906263.2,,,34179311.74,LGU; AFP-BFP; SAR,,,,CY 2002 Destructive Tropical Cyclones. NDCC Report,"Consolidated data on the effects of Typhoons Florita, Gloria, Inday, and tropical depression Hambalos",,,2002-06-28,2002-07-14,7ee904f7f0f546a3a95dddf723390378
465,Tropical Cyclone,Tropical Depression Milenyo,2002-08-30 00:00:00,,,Regions III|IV|V|VI|VII|VIII|NCR|X|CARAGA,,PAGASA,,,15,RDCC; LDCC; AFP-PAF,Helicopter; M-35 Trucks,250,35,22,21,38634,194451,2180,10998,208,652,87.918,83.03,0.631,,,"Rizal- Mapada Bridge in Jala Jala Colapsed; Dantay-Pinugay and feeder road in Tanay heavily damaged; Paso bridge in Angono suffered minor damage.
Biliran- Naval-Biliran road damaged due to landslide; Naval-Almeria-Kawayan road damaged due to landslide at km 1029+500
Leyte- Ormoc-Baybay-Maasin road landslide; Calubian-San Isidro-Tabango road cut off at km 1009+450
Samar- Calbayog diversion road surfacing materials are eroded.
",,,,,1096091,5203036,,,520303,50 packs noodles; 50 bags rice,,,79400,,,,,,,,,,CY 2002 Destructive Tropical Cyclones. NDCC Report,,DPWH conducted emergency repair works utilizing available local resources,,2002-08-30,2002-08-30,e31b543a7a02453eb67f1be72d9e245f
466,Tropical Cyclone,Dodong & Chedeng,"August 5-10, 2007",,,Regions I|III|IV|NCR|CAR,Landslide (Wet)|Flood (General)|Tornado|Water,PAGASA,,,113,"AFP, LGU",,977,15,10,1,249038,1198398,10103,44832,89,130,144388000,350848815.81,,,,,,,,,,,,,,,,,,,,,,,,,,,NDCC. 2007. Destructive Tropical Cyclones.,,,,2007-08-05,2007-08-10,2b8ce68e27a8404195e1c01ba7a85825
467,Tropical Cyclone,EGAY,"August 13-18, 2007",,,Regions I|II|III|IV-A|IV-B|V|NCR|CAR,Flood (General)|Landslide (Wet),PAGASA,State of Calamity in Pateros,,65,"AFP, LGU",Rubber boats and M-35 trucks,559,5,1,0,148700,716486,61284,294924,43,56,51203500,18564433,,,,Roads are affected by landslides in IV-A,,,,,,NDCC; DSWD; DOH; LGUs,,5000172.68,,450 sacks of rice,,,,,,,,,,,,,NDCC. 2007. Destructive Tropical Cyclones.,,,,2007-08-13,2007-08-18,d7033fc79f76443f97897b3ebf171dfd
468,Tropical Cyclone,Hanna,2007-09-27 00:00:00,,,CAR|V|VI|X|XI|NCR,Landslide (Wet)|Rouge Wave|Flood (General),PAGASA,NDCC-OPCEN,,,LGUs; PCG;PDCC,dump trucks,95,14,5,,5007,18223,0,0,140,885,32116000,525000,,,,,,,,,,,,650420,,,,,,,,,,,,,,,NDCC. 2007. Destructive Tropical Cyclones.,,,,2007-09-27,2007-09-27,83ad67e343f24f299d51f1159bade34c
469,Tropical Cyclone,Ineng,"October 1-7, 2007",,,Regions III|IV-A|IV-B|X|XI,Storm Surge,PAGASA,,,2,,,,1,1,14,3750,20252,210,1050,477,1917,,,451000,,,,,,,,1372574,,,,,,,,,,,,,,,,,,NDCC. 2007. Destructive Tropical Cyclones.,,,,2007-10-01,2007-10-07,cd7fab1b12f54eef8c58aef045621ae6
473,Lahar ,Mun. Cagsawa Mayon Lahar,1825,13° 9′ 58″,123° 42′ 4″,"Daragan, Albay",,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Paguican et al (2009). Extreme rainfall-induced lahars and dike breaching, 30 November 2006, Mayon Volcano, Philippines.Bulletin of Volcanology 71(8):845-857",,,,1825-01-01,1825-12-31,ef7790429595426d9dac78edf861adb5
474,Lahar,Mayon Lahar,"July 20, 1766",13.257,123.685,Albay,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Volcanoes of the World, Second Edition, A Regional Directory, Gazetteer, and Chronology of Volcanism During the Last 10,000 Years, Geoscience Press, Inc., Tucson, Arizona, in association with Smithsonian Institution, Global Volcanism Program, Washington, D.C., p. 164-176.
2. Eruptive history of Mayon volcano, Philippines. Philippine Journal of Volcanology, vol. 2, nos. 1 and 2, p. 1-35.",,,12345.0,1766-07-20,1766-07-20,f7e34573a5364505baf947cfa7530fed
475,Lahar,Camiguin Lahar,1954,9.203,124.673,Camiguin,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Volcanoes of the World, Second Edition, A Regional Directory, Gazetteer, and Chronology of Volcanism During the Last 10,000 Years, Geoscience Press, Inc., Tucson, Arizona, in association with Smithsonian Institution, Global Volcanism Program, Washington, D.C., p. 164-176.
2. Fatalities & Evacuations, Volcanoes of the World, Third Edition, Geoscience Press, Inc., University of California Press, Smithsonian Institution, Washington, D.C., p. 329-347.",,,,1954-01-01,1954-12-31,646e0384521049d596adc757bf750899
476,Lahar,Mayon Lahar,1875,13.257,123.685,Albay,,,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fatalities & Evacuations, Volcanoes of the World, Third Edition, Geoscience Press, Inc., University of California Press, Smithsonian Institution, Washington, D.C., p. 329-347.",,,,1875-01-01,1875-12-31,f87f38df775a4e9b8371212a697487ca
477,Lahar,Mayon Lahar,1968,13.257,123.685,Albay,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Volcanoes of the World, Second Edition, A Regional Directory, Gazetteer, and Chronology of Volcanism During the Last 10,000 Years, Geoscience Press, Inc., Tucson, Arizona, in association with Smithsonian Institution, Global Volcanism Program, Washington, D.C., p. 164-176.",,,,1968-01-01,1968-12-31,bfe46ab9ebcb4e93a7e5441ef5916ec0
